epoch,step,train_loss,train_ortho_penalty,train_recon_mse,train_task_mse,train_tau_value,val_loss,val_ortho_penalty,val_recon_mse,val_task_mse,val_tau_value
0,49,5.214420318603516,0.3098343014717102,0.38764622807502747,2.9663548469543457,0.10047993063926697,,,,,
0,99,3.075929880142212,0.014390125870704651,0.29413074254989624,1.5908857583999634,0.10101237893104553,,,,,
0,149,2.2567379474639893,0.0005515068769454956,0.23291277885437012,1.0916224718093872,0.10151363909244537,,,,,
0,199,1.7789411544799805,0.0012872517108917236,0.19430111348628998,0.8061483502388,0.10206769406795502,,,,,
0,249,1.6100208759307861,0.0007446408271789551,0.17241309583187103,0.7472108602523804,0.10256224870681763,,,,,
0,264,,,,,,2.593393325805664,0.0013559013605117798,0.2546149492263794,1.318962574005127,0.10268275439739227
1,299,1.4974502325057983,0.00043933093547821045,0.1596868932247162,0.6985764503479004,0.10290200263261795,,,,,
1,349,1.3357887268066406,0.0005050152540206909,0.1425653100013733,0.6224572658538818,0.10311078280210495,,,,,
1,399,1.3108304738998413,0.00032010674476623535,0.1336926370859146,0.6420472264289856,0.10320043563842773,,,,,
1,449,1.2759722471237183,0.0006317198276519775,0.12859657406806946,0.6323577165603638,0.10321006923913956,,,,,
1,499,1.2652709484100342,0.0028756558895111084,0.12848570942878723,0.6199667453765869,0.10324549674987793,,,,,
1,529,,,,,,1.9613454341888428,0.0002630650997161865,0.15584895014762878,1.181838035583496,0.10325855761766434
2,549,1.1581517457962036,0.0016068369150161743,0.10918775200843811,0.6106061339378357,0.10325871407985687,,,,,
2,599,1.1858084201812744,0.003044039011001587,0.11424779891967773,0.6115254163742065,0.10325103253126144,,,,,
2,649,1.1706150770187378,0.0014611780643463135,0.10848992317914963,0.6267043352127075,0.10324859619140625,,,,,
2,699,1.0029195547103882,0.0009171515703201294,0.10042298585176468,0.4998874366283417,0.10326208919286728,,,,,
2,749,1.0757911205291748,0.00022557377815246582,0.10639649629592896,0.5435830950737,0.10328449308872223,,,,,
2,794,,,,,,1.7537100315093994,0.0005984455347061157,0.12714871764183044,1.1173678636550903,0.10329588502645493
3,799,0.9831013679504395,2.8461217880249023e-05,0.09911762177944183,0.48748475313186646,0.10329505801200867,,,,,
3,849,0.9953149557113647,0.0008364617824554443,0.10032715648412704,0.49284273386001587,0.10334774106740952,,,,,
3,899,1.012003779411316,8.647143840789795e-05,0.09899985045194626,0.5169181227684021,0.10337047278881073,,,,,
3,949,0.9095667600631714,0.0006093084812164307,0.09234065562486649,0.4472541809082031,0.10345213115215302,,,,,
3,999,0.9741437435150146,0.00017133355140686035,0.10568849742412567,0.4455299377441406,0.10350019484758377,,,,,
3,1049,0.9794223308563232,0.000626102089881897,0.09962563216686249,0.4806680381298065,0.10355710983276367,,,,,
3,1059,,,,,,1.6679513454437256,0.0012838244438171387,0.11673535406589508,1.0829912424087524,0.1035696491599083
4,1099,0.9791412353515625,0.0014557689428329468,0.10046973824501038,0.47533681988716125,0.10366452485322952,,,,,
4,1149,1.0157451629638672,0.001836538314819336,0.1058446392416954,0.48468536138534546,0.10374725610017776,,,,,
4,1199,0.8400237560272217,0.0007705986499786377,0.09597000479698181,0.3594031035900116,0.10385087877511978,,,,,
4,1249,0.9603813290596008,4.112720489501953e-06,0.10427262634038925,0.4390140771865845,0.10395901650190353,,,,,
4,1299,0.897548258304596,0.0004262775182723999,0.0943954735994339,0.42514461278915405,0.10409023612737656,,,,,
4,1324,,,,,,1.6040762662887573,0.00041995197534561157,0.11111772060394287,1.0480674505233765,0.10415074974298477
5,1349,0.8751361966133118,0.00040715187788009644,0.10008905082941055,0.3742838203907013,0.10424357652664185,,,,,
5,1399,0.9017999768257141,0.001089341938495636,0.10255102068185806,0.38795554637908936,0.1043163537979126,,,,,
5,1449,0.9443233609199524,0.0008606091141700745,0.10980048030614853,0.3944603204727173,0.1044381782412529,,,,,
5,1499,0.8823767900466919,0.00023790448904037476,0.10588528960943222,0.3527124524116516,0.1045997217297554,,,,,
5,1549,1.013900637626648,0.0012676939368247986,0.12104859203100204,0.40738996863365173,0.10475755482912064,,,,,
5,1589,,,,,,1.6026266813278198,0.0003593340516090393,0.11592168360948563,1.0226584672927856,0.10490860790014267
6,1599,1.036519169807434,0.0006590932607650757,0.12127137184143066,0.4295032322406769,0.10494552552700043,,,,,
6,1649,1.0854278802871704,0.001248084008693695,0.12694139778614044,0.4494727551937103,0.10503218322992325,,,,,
6,1699,1.036966323852539,3.672391176223755e-05,0.12556876242160797,0.40908583998680115,0.10520869493484497,,,,,
6,1749,1.015363097190857,0.0010253041982650757,0.11965452134609222,0.41606518626213074,0.10539792478084564,,,,,
6,1799,1.060307502746582,0.0022363439202308655,0.13243354856967926,0.3959033787250519,0.10558458417654037,,,,,
6,1849,0.9843699336051941,0.001866273581981659,0.12189337611198425,0.3730367422103882,0.10574698448181152,,,,,
6,1854,,,,,,1.6163536310195923,0.0010724663734436035,0.11656013131141663,1.0324811935424805,0.10579243302345276
7,1899,1.1385676860809326,0.003134004771709442,0.14422060549259186,0.4143306612968445,0.10597936809062958,,,,,
7,1949,1.161947250366211,0.00010816752910614014,0.13925746083259583,0.46555185317993164,0.10615622252225876,,,,,
7,1999,1.0192011594772339,0.0006225183606147766,0.12731093168258667,0.38202396035194397,0.1063808873295784,,,,,
7,2049,1.0140268802642822,9.193271398544312e-05,0.12195231020450592,0.40417346358299255,0.10652158409357071,,,,,
7,2099,1.1019554138183594,0.002821780741214752,0.14616172015666962,0.36832502484321594,0.10674510151147842,,,,,
7,2119,,,,,,1.6239408254623413,0.0007739141583442688,0.11557640135288239,1.0452847480773926,0.10681723058223724
8,2149,1.0365893840789795,9.685754776000977e-07,0.13588973879814148,0.3571396768093109,0.10692746192216873,,,,,
8,2199,1.0476034879684448,0.0028008446097373962,0.13209132850170135,0.384346067905426,0.10715660452842712,,,,,
8,2249,0.9849716424942017,0.0007210820913314819,0.1109275370836258,0.4296128451824188,0.10735578835010529,,,,,
8,2299,0.9874595999717712,0.0004958435893058777,0.12001663446426392,0.3868805766105652,0.10757599025964737,,,,,
8,2349,0.8973233699798584,0.0006694644689559937,0.10690602660179138,0.3621237576007843,0.10785035043954849,,,,,
8,2384,,,,,,1.585298776626587,0.0024311586748808622,0.10572589933872223,1.054237961769104,0.10798805207014084
9,2399,0.9776801466941833,0.0016414672136306763,0.11857950687408447,0.3831411302089691,0.1080518588423729,,,,,
9,2449,0.9602710008621216,0.0004830583930015564,0.11689751595258713,0.37530040740966797,0.10829371958971024,,,,,
9,2499,0.9375327825546265,0.00271441787481308,0.10692830383777618,0.40017691254615784,0.10858878493309021,,,,,
9,2549,0.8455360531806946,0.0001944899559020996,0.09873467683792114,0.3516681492328644,0.10884586721658707,,,,,
9,2599,0.9258702397346497,0.0006995797157287598,0.10568709671497345,0.39673516154289246,0.10907641053199768,,,,,
9,2649,1.447827696800232,0.0012967362999916077,0.05337565392255783,1.1796526908874512,0.10934176295995712,,,,,
9,2649,,,,,,1.6089258193969727,0.0015024393796920776,0.10407362133264542,1.0870550870895386,0.10934697091579437
10,2699,0.8028033971786499,0.0013235434889793396,0.08950250595808029,0.3539673388004303,0.10959076881408691,,,,,
10,2749,0.9229323267936707,0.0008869990706443787,0.10878197848796844,0.37813547253608704,0.1098695620894432,,,,,
10,2799,0.9145094752311707,0.002339787781238556,0.0945797935128212,0.4392707645893097,0.11009836196899414,,,,,
10,2849,0.891546905040741,0.0010869354009628296,0.10351160913705826,0.37290191650390625,0.11035918444395065,,,,,
10,2899,0.7601028084754944,0.0005616024136543274,0.0859270915389061,0.32990574836730957,0.11065863817930222,,,,,
10,2914,,,,,,1.6238768100738525,0.0014099925756454468,0.10593055933713913,1.0928133726119995,0.11069335043430328
11,2949,0.8349274396896362,0.0006644055247306824,0.08679227530956268,0.40030163526535034,0.11091534048318863,,,,,
11,2999,0.7835273742675781,0.0003779977560043335,0.08974428474903107,0.33442795276641846,0.11118709295988083,,,,,
11,3049,0.8513392806053162,0.00034578144550323486,0.09582719206809998,0.37185755372047424,0.11144585907459259,,,,,
11,3099,0.8463127017021179,0.001865781843662262,0.08580591529607773,0.41541731357574463,0.11161395162343979,,,,,
11,3149,0.8386308550834656,0.00046769529581069946,0.09652596712112427,0.35553333163261414,0.11181900650262833,,,,,
11,3179,,,,,,1.6858596801757812,0.001060187816619873,0.1179320216178894,1.095139503479004,0.11201731860637665
12,3199,0.9139285087585449,0.0033727213740348816,0.10054287314414978,0.40784138441085815,0.1121133491396904,,,,,
12,3249,0.8301085829734802,0.001357242465019226,0.08638988435268402,0.3968019187450409,0.11239243298768997,,,,,
12,3299,0.8138636946678162,4.5336782932281494e-05,0.09333841502666473,0.3471262454986572,0.11263730376958847,,,,,
12,3349,0.8826910257339478,0.0012676417827606201,0.09845193475484848,0.38916367292404175,0.11289843171834946,,,,,
12,3399,0.9731805324554443,0.0016671046614646912,0.09286968410015106,0.5071650147438049,0.11312109977006912,,,,,
12,3444,,,,,,1.8646955490112305,0.00522326584905386,0.15134654939174652,1.1027394533157349,0.11332189291715622
13,3449,0.82659512758255,0.0014711543917655945,0.09492602199316025,0.350493848323822,0.11333980411291122,,,,,
